"No.","Time","Source","Destination","Protocol","Length","Info","Interface id"
"57","-0.012179022","10.0.0.1","10.0.0.2","ICMP","98","Echo (ping) request  id=0x6493, seq=1/256, ttl=64 (reply in 58)","s111-eth2"
"58","-0.012128959","10.0.0.2","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6493, seq=1/256, ttl=64 (request in 57)","s111-eth2"
"59","0.087943426","10.0.0.1","10.0.0.7","ICMP","98","Echo (ping) request  id=0x6498, seq=1/256, ttl=64 (reply in 60)","s13-eth3"
"60","0.092765865","10.0.0.7","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6498, seq=1/256, ttl=64 (request in 59)","s13-eth3"
"61","0.100511359","10.0.0.7","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6498, seq=1/256, ttl=64","s2-eth1"
"62","0.203513914","10.0.0.11","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x649c, seq=1/256, ttl=64 (request in 52)","s2-eth1"
"63","0.045508928","10.0.0.1","10.0.0.5","ICMP","98","Echo (ping) request  id=0x6496, seq=1/256, ttl=64 (reply in 64)","s13-eth1"
"64","0.054193470","10.0.0.5","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6496, seq=1/256, ttl=64 (request in 63)","s13-eth1"
"65","0.087856863","10.0.0.1","10.0.0.7","ICMP","98","Echo (ping) request  id=0x6498, seq=1/256, ttl=64 (no response found!)","s13-eth1"
"66","0.065111531","10.0.0.1","10.0.0.6","ICMP","98","Echo (ping) request  id=0x6497, seq=1/256, ttl=64 (reply in 67)","s14-eth1"
"67","0.075871074","10.0.0.6","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6497, seq=1/256, ttl=64 (request in 66)","s14-eth1"
"68","0.109401136","10.0.0.1","10.0.0.8","ICMP","98","Echo (ping) request  id=0x6499, seq=1/256, ttl=64 (reply in 69)","s14-eth1"
"69","0.114576789","10.0.0.8","10.0.0.1","ICMP","98","Echo (ping) reply    id=0x6499, seq=1/256, ttl=64 (request in 68)","s14-eth1"
